"naics_code","federal_action_obligation","awarding_agency_name","awarding_sub_agency_name","award_description","funding_office_name","recipient_name","recipient_county_name","recipient_congressional_district","recipient_zip_4_code","implan_code","CewEmpRatio","CewWagesRatio","CewAvgRatio","SourceYear"
236220,223302,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","(CONSTR) P1916 - COMMUNITY SUPPORT FACILITIES - CHINA LAKE","NAVAL FAC ENGINEEERING CMD PACIFIC","SOLPAC CONSTRUCTION, INC.","SAN DIEGO",53,921102819,NA,NA,NA,NA,NA
236220,224080.66,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","P205 ALERT FORCE COMPLEX","NAVFAC SOUTHWEST","R.A. BURCH CONSTRUCTION CO., INC.","SAN DIEGO",50,920651871,NA,NA,NA,NA,NA
236220,225249,"DEPARTMENT OF VETERANS AFFAIRS (VA)","VETERANS AFFAIRS, DEPARTMENT OF","EMERGENCY ELECTRICAL SITE PREP TEMP AHUS BLDG 1 6TH FLOOR RESEARCH LAB","664-SAN DIEGO HEALTHCARE SYS(00664)","SYGNOS, INC.","SAN DIEGO",52,921225778,NA,NA,NA,NA,NA
236220,229170,"DEPARTMENT OF VETERANS AFFAIRS (VA)","VETERANS AFFAIRS, DEPARTMENT OF","THE CONTRACTOR PROVIDES INTERIOR FINISHES FOR THE VA LOMA LINDA HEALTHCARE SYSTEM","605-VA LOMA LINDA HLTHCR SYS(00605)","NPD ASSOCIATES INC","SAN DIEGO",52,921111805,NA,NA,NA,NA,NA
236220,230504,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE AIR FORCE","MUNITIONS IGLOO B713","F1S2AA  412 CE CEIAR","HERMAN/JCG CO JV","SAN DIEGO",52,921211543,NA,NA,NA,NA,NA
236220,232000,"DEPARTMENT OF VETERANS AFFAIRS (VA)","VETERANS AFFAIRS, DEPARTMENT OF","PACIFIC DISTRICT'S MATOC","NATIONAL CEMETERY ADMIN (36C786)","V. LOPEZ JR. & SONS GENERAL ENGINEERING CONTRACTORS, INC.","SANTA BARBARA",24,934544467,NA,NA,NA,NA,NA
236220,244479.87,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","X005 NBPL SUB- AIT STORAGE AT EXISTING STORAGE BINS","PORTSMOUTH NAVAL SHIPYARD GF","MW SERVICES INC.","RIVERSIDE",50,925902549,NA,NA,NA,NA,NA
236220,249880.45,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","ELECTRICAL WORK NMCSD","W075 ENDIST LOS ANGELES","CALIFORNIA CONSTRUCTORS","SAN DIEGO",49,920581325,NA,NA,NA,NA,NA
236220,261935,"DEPARTMENT OF VETERANS AFFAIRS (VA)","VETERANS AFFAIRS, DEPARTMENT OF","TASK ORDER AGAINST VISN 21 MACC GROUP 2.  BLDG 1 EXTERIOR PAINING AT SFVAMC.","261-NETWORK CONTRACT OFFICE 21 (36C261)","PATRIOT CONSTRUCTION, INC.","SAN JOAQUIN",9,952064982,NA,NA,NA,NA,NA
236220,269717,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","CONSTR TO: P-160 RESERVE TRAINING CENTER SEAL","NAVAL FACILITIES ENGINEERING COMD","HARPER CONSTRUCTION COMPANY, INC.","SAN DIEGO",52,921011769,NA,NA,NA,NA,NA
236220,269800,"DEPARTMENT OF ENERGY (DOE)","ENERGY, DEPARTMENT OF","CARR-KESWICK 44 STEEL POLE FOUNDATION CONTRACT","WESTERN AREA POWER ADMINISTRATION","OUTBACK CONTRACTORS, INC.","TEHAMA",1,960807849,NA,NA,NA,NA,NA
236220,273829.92,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","X002 1018 FORKLIFT REWORK","NAVY INSTALLATIONS COMMAND","R.A. BURCH CONSTRUCTION CO., INC.","SAN DIEGO",50,920651871,NA,NA,NA,NA,NA
236220,280785,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","EARTHQUAKE REP NAWS 0540056006701259","NAVAL AIR WARFARE CTR WEAPONS DIV","CORBARA-MGS JV","SAN DIEGO",51,919502228,NA,NA,NA,NA,NA
236220,283281,"DEPARTMENT OF HOMELAND SECURITY (DHS)","U.S. CUSTOMS AND BORDER PROTECTION","SEPTIC SYSTEM","OFFICE OF FACILITIES  ASSET MNGT","OCS CONSTRUCTION SERVICES, INC.","RIVERSIDE",41,925062506,NA,NA,NA,NA,NA
236220,285809.12,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","POINT MUGU JOB ORDER CONTRACT","NAVAL AIR WARFARE CENTER","CODY M. STEVENS CONSTRUCTION, INC.","VENTURA",26,930037787,NA,NA,NA,NA,NA
236220,289872,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","IGF OT IGF X035  EQ19 - D7J00340MR WAREHOUSE BLDG 31412 BLDG 31499 (RM PRIO","NAVAL AIR WARFARE CTR WEAPONS DIV","GIDEON CONTRACTING, LIMITED LIABILITY COMPANY","SAN LUIS OBISPO",24,934209619,NA,NA,NA,NA,NA
236220,289989.89,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE AIR FORCE","INDUSTRIAL METAL CANOPY B1717","412 LG LGLXR","LEAD BUILDERS, INC.","VENTURA",26,91362,NA,NA,NA,NA,NA
236220,299635,"DEPARTMENT OF HOMELAND SECURITY (DHS)","U.S. CUSTOMS AND BORDER PROTECTION","DISTRIBUTION PANEL AND MECHANICAL FIRE ALARM","OFFICE OF FACILITIES  ASSET MNGT","OCS CONSTRUCTION SERVICES, INC.","RIVERSIDE",41,925062506,NA,NA,NA,NA,NA
236220,301416,"DEPARTMENT OF VETERANS AFFAIRS (VA)","VETERANS AFFAIRS, DEPARTMENT OF","SUPPLEMENTAL AGREEMENT - DEFINITIZE P00352 P00352 P00390 P00398 - MRI CT","OFFICE OF CONSTRUCTION & FACILITIES MGMT (36C10F)","S. J. AMOROSO CONSTRUCTION CO., INC.","SAN MATEO",14,940651061,NA,NA,NA,NA,NA
236220,317718.96,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","X006 P777 DIRECTED ENERGY LABORATORY DB POINT MUGU NBVC","COMMANDING OFFICER","HARPER CONSTRUCTION COMPANY, INC.","SAN DIEGO",52,921011769,NA,NA,NA,NA,NA
236220,319358.86,"DEPARTMENT OF VETERANS AFFAIRS (VA)","VETERANS AFFAIRS, DEPARTMENT OF","EMERGENCY HOT WATER RETURN SYSTEM","605-VA LOMA LINDA HLTHCR SYS(00605)","GUY L. WARDEN & SONS","LOS ANGELES",38,907031832,NA,NA,NA,NA,NA
236220,320156.03,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","X002 1018 FORKLIFT REWORK","NAVFAC SOUTHWEST","R.A. BURCH CONSTRUCTION CO., INC.","SAN DIEGO",50,920651871,NA,NA,NA,NA,NA
236220,337441,"DEPARTMENT OF HOMELAND SECURITY (DHS)","U.S. COAST GUARD","DEMOLISH WATER TOWER AND BUILDING 125- OLD PUMP HOUSE AT NOVATO HOUSING AND PAC STRIKE TEAM NOVATO CA. PSN 11312541","DEPUTY COMDT 4 MISSION SUPP WASH DC","PATRIOT CONSTRUCTION, INC.","SAN MATEO",14,940102003,NA,NA,NA,NA,NA
236220,343593,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","BASE ITEM 0001","NAVFAC SOUTHWEST","R.A. BURCH CONSTRUCTION CO., INC.","SAN DIEGO",50,920651871,NA,NA,NA,NA,NA
236220,346469,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","P1924 - ACADEMIC TRAINING BUILDING - NAWS CHINA LAK","NAVAL FAC ENGINEEERING CMD PACIFIC","BARNHART-REESE CONSTRUCTION, INC.","SAN DIEGO",49,921272429,NA,NA,NA,NA,NA
236220,347000,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","X006 NAWS0819 - SECURITY HARDENING FACS. 20001 & 20227","NAVFAC SOUTHWEST","DURABLE GOOD-MEN JV LLC","SAN DIEGO",52,921106258,NA,NA,NA,NA,NA
236220,348359,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","FUEL FARM SECURITY GATES AT NASL","DLA ENERGY","AHTNA-CDM JV","ORANGE",45,926021381,NA,NA,NA,NA,NA
236220,351520,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","X004 P586 DBB MISSILE MAGAZINE AND ASSEMBLY BUILDING SAN NICOLAS","NAVFAC SOUTHWEST","SOLPAC CONSTRUCTION, INC.","SAN DIEGO",53,921102819,NA,NA,NA,NA,NA
236220,367864,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","(CONSTR) P1916 - COMMUNITY SUPPORT FACILITIES - CHINA LAKE","NAVAL FAC ENGINEEERING CMD PACIFIC","SOLPAC CONSTRUCTION, INC.","SAN DIEGO",53,921102819,NA,NA,NA,NA,NA
236220,378341,"DEPARTMENT OF VETERANS AFFAIRS (VA)","VETERANS AFFAIRS, DEPARTMENT OF","LLVAHCS 2NE BEAUTIFICATION","258-NETWORK CNTRCT OFF 22G (36C258)","TALION CONSTRUCTION, LLC","RIVERSIDE",50,925903686,NA,NA,NA,NA,NA
236220,410699.2,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE AIR FORCE","SABER SEED PROJECT PDPG17-0537","452 CES CERF","PERMON CONTRACTORS INC","SAN BERNARDINO",35,917622721,NA,NA,NA,NA,NA
236220,419352,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","P777 DIRECTED ENERGY LABORATORY DB POINT MUGU NBVC","NAVAL FACILITIES ENGINEERING COMD","HARPER CONSTRUCTION COMPANY, INC.","SAN DIEGO",52,921011769,NA,NA,NA,NA,NA
236220,422044,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","PRADO DAM COMPTRAIL.REF#R00003.009-BOLLARDS AND DOOR HARDWARE.010-PRADO COMP M'NANCE AND SEC.011-ADD D'STERS PAD 012-CREDITUTIL METER.TOT CON. PRICE EQUALS $422044.THE COD SHALL BE EX.BY 365CD BY REASON OF MOD.TIME EX.OF 365CD COVERS WORK PERIOD.","W075 ENDIST LOS ANGELES","DE LA FUENTE CONSTRUCTION, INC.","SAN DIEGO",51,919507927,NA,NA,NA,NA,NA
236220,423845,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","P198 AND P203","NAVFAC SOUTHWEST","HARPER CONSTRUCTION COMPANY, INC.","SAN DIEGO",52,921011769,NA,NA,NA,NA,NA
236220,424577,"DEPARTMENT OF VETERANS AFFAIRS (VA)","VETERANS AFFAIRS, DEPARTMENT OF","SUPPLEMENTAL AGREEMENT - DEFINITIZE P00060 & P00152 - CONTAMINATED SOIL OFF-HAUL","OFFICE OF CONSTRUCTION & FACILITIES MGMT (36C10F)","S. J. AMOROSO CONSTRUCTION CO., INC.","SAN MATEO",14,940651061,NA,NA,NA,NA,NA
236220,433221,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","B55 57 74 45 3210 RPLC STOREFRONT DRS ACQR 5866067","NAVFAC SOUTHWEST","AHTNA-CDM JV","ORANGE",45,926021381,NA,NA,NA,NA,NA
236220,439358.06,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","BASE ITEM 0001 + BID OPTION ITEM 3","NAVFAC SOUTHWEST","HARPER CONSTRUCTION COMPANY, INC.","SAN DIEGO",52,921011769,NA,NA,NA,NA,NA
236220,440236.61,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE AIR FORCE","MC EXPAND RV PARKING FAM CAMP B5222","F1S2AA  412 CE CEIAR","J G CONTRACTING","SAN LUIS OBISPO",24,934449282,NA,NA,NA,NA,NA
236220,442882.13,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","NMCSD WALK-IN REFRIGERATORS G&A 7.1%","W075 ENDIST LOS ANGELES","CALIFORNIA CONSTRUCTORS","SAN DIEGO",49,920581325,NA,NA,NA,NA,NA
236220,444853,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","F-35 SIMULATOR FACILITY   DSGN","NAVFAC SOUTHWEST","HARPER CONSTRUCTION COMPANY, INC.","SAN DIEGO",52,921011769,NA,NA,NA,NA,NA
236220,450000,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","CLAIM 20-16 SETTLEMENT FOR PROJECT P-1237","COMMANDING OFFICER","COMPENDIUM INTERNATIONAL, INC.","ORANGE",45,926102831,NA,NA,NA,NA,NA
236220,456911,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","DESERT WARFARE TRAINING CENTER","NAVFAC SOUTHWEST","SOLPAC CONSTRUCTION, INC.","SAN DIEGO",53,921102819,NA,NA,NA,NA,NA
236220,464906.53,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","P-334 SUPPLY WAREHOUSE ADMIN FACILITY","NAVFAC SOUTHWEST","I.E.-PACIFIC, INC.","SAN DIEGO",50,920251706,NA,NA,NA,NA,NA
236220,480987,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","BASEYARD EMERGENCY GENERATOR PROJECT","W075 ENDIST LOS ANGELES","ACS-CPC JV LLC","RIVERSIDE",42,925635856,NA,NA,NA,NA,NA
236220,484173,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","BASE YEAR PERFORMANCE PERIOD","NAVAL BASE VENTURA COUNTY","I.E.-PACIFIC, INC.","SAN DIEGO",50,920251706,NA,NA,NA,NA,NA
236220,488891.88,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","P970 ASP FACILITIES PULGAS MCBCP","NAVFAC SOUTHWEST","SOLPAC CONSTRUCTION, INC.","SAN DIEGO",53,921102819,NA,NA,NA,NA,NA
236220,497592,"DEPARTMENT OF ENERGY (DOE)","ENERGY, DEPARTMENT OF","DEACTIVATION AND DEMOLITION OF 5 STRUCTURES AT THE LAWRENCE LIVERMORE NATIONAL LABORATORY IN CALIFORNIA","NNSA WEAPONS ACTIVITIES FUNDS","LEAD BUILDERS, INC.","LOS ANGELES",26,91362,NA,NA,NA,NA,NA
236220,502685,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","NEW PA SYSTEM AT CLINIC AT PORT HUENEME CA","W075 ENDIST LOS ANGELES","JM CONSTRUCTION SERVICES INC.","ORANGE",46,927055250,NA,NA,NA,NA,NA
236220,543871,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","X016 (CUST) NBSD-123 DIP TANK","NAVFAC SOUTHWEST","AHTNA-CDM JV","ORANGE",45,926021381,NA,NA,NA,NA,NA
236220,615000,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","BASE PROPOSAL - MIRAMAR CA ARC","US ARMY ENGINEER DISTRICT LOUISVILL","COX CONSTRUCTION CO.","SAN DIEGO",49,920818816,NA,NA,NA,NA,NA
236220,621338,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","X007 Q200 SOF NSWG1 OPS SUPPORT FACILITY PCO 027","NAVFAC SOUTHWEST","RQ CONSTRUCTION, LLC","SAN DIEGO",49,920104701,NA,NA,NA,NA,NA
236220,625865,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","B137 AVIATION WASH PAD","W075 ENDIST LOS ANGELES","MIRACLE ONE BUILDERS, INC","RIVERSIDE",42,925303703,NA,NA,NA,NA,NA
236220,718695,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","HANSEN DAM CONTROL HOUSE FENCE","","VET CON, LLC","TULARE",22,932913603,NA,NA,NA,NA,NA
236220,723137,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","BASE PROPOSAL - MIRAMAR CA ARC","US ARMY ENGINEER DISTRICT LOUISVILL","COX CONSTRUCTION CO.","SAN DIEGO",49,920818816,NA,NA,NA,NA,NA
236220,739261,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE AIR FORCE","BURN CELL","F1H3A8 9 CES CERF","HERMAN/JCG CO JV","SAN DIEGO",52,921211543,NA,NA,NA,NA,NA
236220,740134,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","X007 EQ19 - D7J000280MR PROPULSION WELD SHOP FRAGMENT ANALYSIS B","NAVAL AIR WARFARE CTR WEAPONS DIV","DURABLE GOOD-MEN JV LLC","SAN DIEGO",52,921106258,NA,NA,NA,NA,NA
236220,740411,"DEPARTMENT OF VETERANS AFFAIRS (VA)","VETERANS AFFAIRS, DEPARTMENT OF","ELECTRICAL SITE TINY HOUSES 691-21-126","691-VA GREATER LA HLTHCR SYS(00691)","SYGNOS, INC.","SAN DIEGO",52,921225778,NA,NA,NA,NA,NA
236220,742198,"DEPARTMENT OF VETERANS AFFAIRS (VA)","VETERANS AFFAIRS, DEPARTMENT OF","EMERGENCY ELECTRICAL SITE PREP TEMP AHUS BLDG 1 6TH FLOOR RESEARCH LAB","664-SAN DIEGO HEALTHCARE SYS(00664)","SYGNOS, INC.","SAN DIEGO",52,921225778,NA,NA,NA,NA,NA
236220,750920,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","MAIN BUILDING FACILITY","W075 ENDIST LOS ANGELES","STRAUB CONSTRUCTION, INC.","SAN DIEGO",50,920282969,NA,NA,NA,NA,NA
236220,765004,"DEPARTMENT OF DEFENSE (DOD)","DEFENSE LOGISTICS AGENCY","8508503833!AC","DLA DISTRIBUTION","CONSTRUCTICON CORP","SANTA CLARA",18,940431902,NA,NA,NA,NA,NA
236220,820000,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","X007 (CNIC) B3212 ROOF RPLCRSTRM RENOV & B3229 ROOF RPLC NBSD 8(","NAVFAC SOUTHWEST","CORBARA-MGS JV","SAN DIEGO",51,919502228,NA,NA,NA,NA,NA
236220,913836.01,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","ACF- WHITE MEMORIAL MED CENTER LA COUNTY CA","US ARMY ENGINEER DISTRICT SACRAMENT","ECC ENVIRONMENTAL LLC","SAN MATEO",14,940101805,NA,NA,NA,NA,NA
236220,932279,"DEPARTMENT OF VETERANS AFFAIRS (VA)","VETERANS AFFAIRS, DEPARTMENT OF","INCORPORATE SWITCHGEAR INTO BUILDING 38 OF JAMES A HALEY VETERANS HOSPITAL","248-NETWORK CONTRACT OFFICE 8 (36C248)","SPANOS GROUP LLC, THE","PLACER",4,957479636,NA,NA,NA,NA,NA
236220,934983.04,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","JOC OY3 FLAG POLE PARKING","W6GS USAG FT HUNTER LIGGETT","AHTNA DESIGN-BUILD, INC.","YOLO",6,956913483,NA,NA,NA,NA,NA
236220,941588.59,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","MOD P00003 TO OBLIGATE FUNDS ON P510 - AERIAL PORT SQUADRON MATERIEL WAREHOUSE","AFLCMC EN_EZ","R.A. BURCH CONSTRUCTION CO., INC.","SAN DIEGO",50,920651871,NA,NA,NA,NA,NA
236220,977918,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","P198 AND P203","NAVFAC SOUTHWEST","HARPER CONSTRUCTION COMPANY, INC.","SAN DIEGO",52,921011769,NA,NA,NA,NA,NA
236220,1054716.16,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","CONSTR TO: P-160 RESERVE TRAINING CENTER SEAL","NAVFAC SOUTHWEST","HARPER CONSTRUCTION COMPANY, INC.","SAN DIEGO",52,921011769,NA,NA,NA,NA,NA
236220,1084593,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","NHCP ROOF FALL PROTECTION CAMP PENDLETON CALIFORNIA","W075 ENDIST LOS ANGELES","JM CONSTRUCTION SERVICES INC.","ORANGE",46,927055250,NA,NA,NA,NA,NA
236220,1238706.42,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","SOUTH AIRFEILD MCON PROJECTS CHINA LAKE - EXERCISE OPTION ITEMS 0038 AND 0039","NAVFAC SOUTHWEST","ENVIRONMENTAL CHEMICAL CORPORATION","SAN MATEO",14,940101805,NA,NA,NA,NA,NA
236220,1240534,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","X016 1679279 -- PHIBCOR-401 SCIF","EXPEDITIONARY WARFARE TRAINING","DURABLE GOOD-MEN JV LLC","SAN DIEGO",52,921106258,NA,NA,NA,NA,NA
236220,1259245,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","B1393 METAL BLDG","W075 ENDIST LOS ANGELES","OCS CONSTRUCTION SERVICES, INC.","RIVERSIDE",41,925062506,NA,NA,NA,NA,NA
236220,1285935,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","X015 BA1909R PAINT PREP CLEAR SPAN","COMMANDER","DURABLE GOOD-MEN JV LLC","SAN DIEGO",52,921106258,NA,NA,NA,NA,NA
236220,1289500,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","COST VARIANCE ACF- WHITE MEMORIAL MED CNTR LA COUNTY CA","US ARMY ENGINEER DISTRICT SACRAMENT","ECC ENVIRONMENTAL LLC","SAN MATEO",14,940101805,NA,NA,NA,NA,NA
236220,1300000,"DEPARTMENT OF VETERANS AFFAIRS (VA)","VETERANS AFFAIRS, DEPARTMENT OF","SUPPLEMENTAL AGREEMENT - DEFINITIZE P00315 - BLDG 500 VOLTAGE DROP","OFFICE OF CONSTRUCTION&FACILITIES MGMT (36C10F)","S. J. AMOROSO CONSTRUCTION CO., INC.","SAN MATEO",14,940651061,NA,NA,NA,NA,NA
236220,1363914,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","X008 D7J30417 - 4.7 WAO NEW FACILITY","NAVAL AIR WARFARE CTR WEAPONS DIV","FED CON - VC JOINT VENTURE","VENTURA",26,930234210,NA,NA,NA,NA,NA
236220,1573691,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","PROVIDE SHADE STRUCTURE FOR FILLOFFLOAD OF FUEL NAVAL AIR FACIL","NAVFAC SOUTHWEST","DURABLE GOOD-MEN JV LLC","SAN DIEGO",52,921106258,NA,NA,NA,NA,NA
236220,1587334,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","METRO SAN DIEGO AREA 236220 IDIQ MACC","TACTICAL TRAINING GROUP PACIFIC","PATRICIA I. ROMERO, INC.","SAN DIEGO",51,919504332,NA,NA,NA,NA,NA
236220,1623023,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","P1922 - SKYTOP FIRING BAYS EXERCISE OPTION ITEM 0001","NAVFAC SOUTHWEST","HARPER CONSTRUCTION COMPANY, INC.","SAN DIEGO",52,921011769,NA,NA,NA,NA,NA
236220,1700000,"DEPARTMENT OF VETERANS AFFAIRS (VA)","VETERANS AFFAIRS, DEPARTMENT OF","SETTLEMENT OF PARTIAL TERMINATION FOR CONVENIENCE","261-NETWORK CONTRACT OFFICE 21 (36C261)","K.O.O. CONSTRUCTION, INC.","YOLO",6,956913816,NA,NA,NA,NA,NA
236220,1700234.97,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","P-205 DB ALERT FORCE COMPLEX AT TAFB - FF&E","NAVFAC SOUTHWEST","R.A. BURCH CONSTRUCTION CO., INC.","SAN DIEGO",50,920651871,NA,NA,NA,NA,NA
236220,1832062,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","X002 1670721 - NBC-797 BUILD PEB STRUCTURE FOR TRAINER (CBMM)","NAVFAC SOUTHWEST","PATRICIA I. ROMERO, INC.","SAN DIEGO",51,919504332,NA,NA,NA,NA,NA
236220,1856663,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","ASP BUNKERSMONITORING WELLS","W075 ENDIST LOS ANGELES","J G CONTRACTING","SAN LUIS OBISPO",24,934449282,NA,NA,NA,NA,NA
236220,1897393,"DEPARTMENT OF DEFENSE (DOD)","DEFENSE LOGISTICS AGENCY","8508405551!INSULATED STORAGE ROOM","DLA DISTRIBUTION","SPECTRUM SERVICES GROUP, INC","SACRAMENTO",3,958341159,NA,NA,NA,NA,NA
236220,1967230,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","FINAL DENIAL BARRIER SYST FOR AFRL EDWARDS AFB CA","W075 ENDIST LOS ANGELES","ALOHA CONSTRUCTION SERVICES, INC.","RIVERSIDE",42,925635856,NA,NA,NA,NA,NA
236220,1975836,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","ROAD FOR DENIAL BARRIER","W075 ENDIST LOS ANGELES","ALOHA CONSTRUCTION SERVICES, INC.","RIVERSIDE",42,925635856,NA,NA,NA,NA,NA
236220,1996858.38,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","BUILDING 224 RESKINNING JOB","W6GS USAG FT HUNTER LIGGETT","AHTNA DESIGN-BUILD, INC.","YOLO",6,956913483,NA,NA,NA,NA,NA
236220,2213896.04,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","7 JOBS PER FHL JOC","W6GS USAG FT HUNTER LIGGETT","AHTNA DESIGN-BUILD, INC.","YOLO",6,956913483,NA,NA,NA,NA,NA
236220,2229553,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","EXERCISE OPTIONS 0002B AND 0003B FOR P510 - AERIAL PORT SQUADRON MATERIEL WAREHOUSE","AFLCMC EN_EZ","R.A. BURCH CONSTRUCTION CO., INC.","SAN DIEGO",50,920651871,NA,NA,NA,NA,NA
236220,2332412.48,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","PRE-ENGINEERED METAL BUILDING","US ARMY ENGINEER DISTRICT SACRAMENT","LEGEND CONSTRUCTION AND PAINTING INC.","PLACER",4,956785902,NA,NA,NA,NA,NA
236220,2333061.46,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE ARMY","ELECTRICAL SUSBSTATION 3A -EDWARDS AFB","W075 ENDIST LOS ANGELES","MX CONSTRUCTION, INC.","SAN LUIS OBISPO",24,934445626,NA,NA,NA,NA,NA
236220,2447205.24,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","SOUTH AIRFEILD MCON PROJECTS CHINA LAKE - EXERCISE OPTION 0043 FOR P1900 P1901 AND P1908.","NAVAL AIR WARFARE CTR WEAPONS DIV","ENVIRONMENTAL CHEMICAL CORPORATION","SAN MATEO",14,940101805,NA,NA,NA,NA,NA
236220,2663310.23,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","REPROCUREMENT DBB NAVY LODGE ADDITION LA MESA NSAM CA BASE BID OPT 12 AND 3  FFP","COMMANDING OFFICER","JACOB CONSTRUCTION & DESIGN, INC","SAN LUIS OBISPO",24,934015702,NA,NA,NA,NA,NA
236220,2743894,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","P1919 - RADIOGRAPHIC BUILDING - NAWS CHINA LAKE CA.  THE MOD AWARDS OPITONS 0001 0002 AND 0003.","NAVAL AIR WARFARE CTR WEAPONS DIV","HARPER CONSTRUCTION COMPANY, INC.","SAN DIEGO",52,921011769,NA,NA,NA,NA,NA
236220,2895692.96,"DEPARTMENT OF DEFENSE (DOD)","DEPT OF THE NAVY","BASE ITEM 0001 + BID OPTION ITEM 3","NAVFAC SOUTHWEST","HARPER CONSTRUCTION COMPANY, INC.","SAN DIEGO",52,921011769,NA,NA,NA,NA,NA
